seleccion,orden,jugador,archivo_imagen,archivo_sin_ajustar
Inglaterra,14,Elliot Anderson,,
Inglaterra,15,Declan Rice,eng_12_declan-rice.png,
Inglaterra,16,Kobbie Mainoo,,
Inglaterra,17,Eberechi Eze,,
Inglaterra,18,Jude Bellingham,eng_09_jude-bellingham.png,
Inglaterra,19,Morgan Rogers,eng_08_morgan-rogers.png,
Inglaterra,20,Bukayo Saka,eng_06_bukayo saka.png,
Inglaterra,21,Noni Madueke,,
Inglaterra,22,Marcus Rashford,eng_03_marcus-rashford.png,
Inglaterra,23,Anthony Gordon,eng_07_anthony-gordon.png,
Inglaterra,24,Harry Kane,eng_02_harry-kane.png,
Inglaterra,25,Ollie Watkins,eng_05_ollie-watkins.png,
Inglaterra,26,Ivan Toney,,
Espana,1,Unai Simón,esp_01_unai-simon.png,esp_06_alvaro-morata.png
Espana,2,David Raya,,esp_07_mikel-ovarzabal.png
Espana,3,Joan García,,esp_12_rodri.png
Espana,4,Pedro Porro,esp_16_pedro-porro.png,esp_15_dani carvajal.png
Espana,5,Marcos Llorente,,esp_17_dean-huijsen.png
Espana,6,Marc Cucurella,esp_14_marc cucurella.png,esp-19-robin le normand.png
Espana,7,Alex Grimaldo,,esp.png
Espana,8,Aymeric Laporte,esp_18_aymeric-laporte.png,esp0_2.png
Espana,9,Pau Cubarsí,,esp0.png
Espana,10,Marc Pubill,,
Espana,11,Eric García,,
Espana,12,Rodri,esp_11_rodri.png,
Espana,13,Martín Zubimendi,esp_13_martin-zubimendi.png,
Espana,14,Fabián Ruiz,esp_09_fabian-ruiz.png,
Espana,15,Pedri,esp_10_pedri.png,
Espana,16,Dani Olmo,esp_05_dani-olmo.png,
Espana,17,Gavi,,
Espana,18,Alex Baena,,
Espana,19,Mikel Merino,esp_08_mikel-merino.png,
Espana,20,Lamine Yamal,esp_02_lamine yamal.png,
Espana,21,Nico Williams,esp_04_nico-williams.png,
Espana,22,Mikel Oyarzabal,,
Espana,23,Ferran Torres,esp_03_ferran-torres.png,
Espana,24,Yeremi Pino,,
Espana,25,Victor Muñoz,,
Espana,26,Borja Iglesias,,
Francia,1,Mike Maignan,fra_01_mike-maignan.png,fra_03_hugo-ekitike.png
Francia,2,Brice Samba,,fra_04_kingsley-coman.png
Francia,3,Robin Risser,,fra_10_eduardo camavinga.png
Francia,4,Jules Kounde,fra_16_jules kounde.png,fra.png
Francia,5,Malo Gusto,,fra0_2.png
Francia,6,William Saliba,fra_17_william saliba.png,fra0.png
Francia,7,Dayot Upamecano,fra_14_dayot upamecano.png,
Francia,8,Ibrahima Konaté,fra_15_ibrahima konate.png,
Francia,9,Lucas Hernández,,
Francia,10,Theo Hernández,fra_18_theo hernandez.png,
Francia,11,Lucas Digne,fra_13_lucas digne.png,
Francia,12,Maxence Lacroix,,
Francia,13,Aurélien Tchouaméni,fra_11_aurelien tchouameni.png,
Francia,14,Adrien Rabiot,fra_08_adrien rabiot.png,
Francia,15,N’Golo Kanté,,
Francia,16,Warren Zaïre-Emery,,
Francia,17,Manu Koné,fra_09_manu kone.png,
Francia,18,Kylian Mbappé,fra_02_kylian-mbappe.png,
Francia,19,Michael Olise,fra_12_michael-olise.png,
Francia,20,Ousmane Dembélé,fra_07_ousmane-dembele-r.png,
Francia,21,Désiré Doué,fra_05_desire-doue-is.png,
Francia,22,Bradley Barcola,fra_06_bradley-barcola.png,
Francia,23,Marcus Thuram,,
Francia,24,Maghnes Akliouche,,
Francia,25,Jean-Philippe Mateta,,
Francia,26,Rayan Cherki,,
Alemania,1,Manuel Neuer,,ger_01_marc-andre-ter-stegen.png
